City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,zeya,53.75,127.2667,-25.77,100,87,1.07,RU,1737576532
328,lihue,21.9789,-159.3672,20.77,78,100,3.6,US,1737576533
329,stephenville,32.2207,-98.2023,10.7,27,0,5.14,US,1737576534
330,sirte,31.2089,16.5887,16.45,34,3,2.61,LY,1737576535
331,natal,-5.795,-35.2094,28.36,74,40,6.17,BR,1737576536
332,taulaga,-11.0553,-171.0883,27.6,79,14,6.28,AS,1737576538
333,ayr,55.4627,-4.6339,3.61,95,75,1.03,GB,1737576540
334,waingapu,-9.6567,120.2641,25.15,90,100,0.48,ID,1737576541
335,novodvinsk,64.4165,40.8122,-11.14,94,100,4.48,RU,1737576543
336,papao,-17.75,-149.55,29.82,79,93,7.67,PF,1737576544
337,san ignacio,17.1561,-89.0714,22.08,88,100,2.06,BZ,1737576545
338,qamdo,31.1667,97.2333,-0.92,32,94,1.82,CN,1737576546
339,sarmiento,-45.5882,-69.07,24.01,18,100,11.56,AR,1737576547
340,huntsville,34.7304,-86.5861,1.33,35,2,1.34,US,1737576511
341,freetown,8.484,-13.2299,26.84,74,40,5.66,SL,1737576293
342,pocinhos,-7.0767,-36.0611,26.91,52,42,4.36,BR,1737576551
343,kolonia town,6.964,158.206,28.43,76,100,9.68,FM,1737576552
344,jalgaon,21.0167,75.5667,21.4,39,24,1.38,IN,1737576553
345,inhambane,-23.865,35.3833,25.77,88,44,6.07,MZ,1737576555
346,quatre cocos,-20.2078,57.7625,26.06,79,100,3.09,MU,1737576556
347,al jawf,29.5,38.75,11.18,31,91,5.34,SA,1737576557
348,ad dawadimi,24.5077,44.3924,11.64,36,14,5.24,SA,1737576559
349,west lafayette,40.4259,-86.9081,-3.77,46,100,4.63,US,1737576405
350,codrington,-38.2667,141.9667,11.94,78,100,3.34,AU,1737576562
351,al bawiti,28.3492,28.8659,14.41,73,0,2.9,EG,1737576563
352,saint-philippe,-21.3585,55.7679,26.09,83,21,3.61,RE,1737576564
353,katsuura,35.1333,140.3,10.93,57,100,4.14,JP,1737576565
354,east ballina,-28.8667,153.5833,24.69,76,97,5.77,AU,1737576567
355,kralendijk,12.15,-68.2667,28.99,70,40,8.75,BQ,1737576568
356,ahiri,19.4,80.0167,17.7,36,5,1.22,IN,1737576569
357,babana,10.4295,3.815,29.83,12,0,1.59,NG,1737576570
358,bantay,17.5847,120.3892,23.78,80,2,2.13,PH,1737576571
